cal BP,Posterior probability
-2210,1.3721750346474197E-5
-2200,0.0
-2190,0.0
-2180,0.0
-2170,0.0
-2160,0.0
-2150,0.0
-2140,0.0
-2130,1.3721750346474197E-5
-2120,1.3721750346474197E-5
-2110,0.0
-2100,2.7443500692948393E-5
-2090,1.3721750346474197E-5
-2080,0.0
-2070,0.0
-2060,0.0
-2050,1.3721750346474197E-5
-2040,4.116525103942259E-5
-2030,5.488700138589679E-5
-2020,4.116525103942259E-5
-2010,2.7443500692948393E-5
-2000,4.116525103942259E-5
-1990,6.860875173237098E-5
-1980,4.116525103942259E-5
-1970,4.116525103942259E-5
-1960,4.116525103942259E-5
-1950,6.860875173237098E-5
-1940,5.488700138589679E-5
-1930,1.0977400277179357E-4
-1920,1.3721750346474195E-4
-1910,1.2349575311826778E-4
-1900,6.860875173237098E-5
-1890,8.233050207884518E-5
-1880,1.7838275450416456E-4
-1870,1.5093925381121616E-4
-1860,3.842090097012775E-4
-1850,2.0582625519711294E-4
-1840,2.4699150623653555E-4
-1830,3.293220083153807E-4
-1820,5.351482635124937E-4
-1810,6.31200515937813E-4
-1800,4.253742607407001E-4
-1790,5.625917642054421E-4
-1780,5.900352648983905E-4
-1770,6.860875173237098E-4
-1760,6.723657669772356E-4
-1750,5.763135145519162E-4
-1740,6.99809267670184E-4
-1730,8.370267711349259E-4
-1720,8.370267711349259E-4
-1710,0.0011251835284108841
-1700,0.0012898445325685744
-1690,0.0017838275450416455
-1680,0.0017838275450416455
-1670,0.001468227287072739
-1660,0.0015093925381121616
-1650,0.0014545055367262648
-1640,0.0016054447905374809
-1630,0.0016466100415769036
-1620,0.0016740535422698519
-1610,0.0025385238140977263
-1600,0.002497358563058304
-1590,0.0025385238140977263
-1580,0.002469915062365355
-1570,0.0025522455644442004
-1560,0.0026757413175624682
-1550,0.003430437586618549
-1540,0.003787203095626878
-1530,0.004747725619880072
-1520,0.004830056121958917
-1510,0.005831743897251534
-1500,0.00588663089863743
-1490,0.005749413395172688
-1480,0.0055024218889361525
-1470,0.005831743897251534
-1460,0.005790578646212111
-1450,0.0059277961496768524
-1440,0.00657271841596114
-1430,0.006394335661456975
-1420,0.00631200515937813
-1410,0.007450910438135489
-1400,0.00879564197208996
-1390,0.00902891172798002
-1380,0.009097520479712393
-1370,0.00964639049357136
-1360,0.010881348024754038
-1350,0.01052458251574571
-1340,0.011402774537920057
-1330,0.011910479300739601
-1320,0.013172880332615228
-1310,0.012871001824992796
-1300,0.014009907103750155
-1290,0.014860655625231554
-1280,0.015121368881814564
-1270,0.015944673902603016
-1260,0.015972117403295964
-1250,0.016850309425470313
-1240,0.017083579181360373
-1230,0.0170698574310139
-1220,0.01723451843517159
-1210,0.018428310715314845
-1200,0.01893601547813439
-1190,0.02007492075689175
-1180,0.02007492075689175
-1170,0.019320224487835668
-1160,0.020321912263128284
-1150,0.021076608532184366
-1140,0.021501982792925065
-1130,0.021927357053665764
-1120,0.021598035045350385
-1110,0.022146905059209354
-1100,0.023368140840045556
-1090,0.02432866336429875
-1080,0.022723218573761268
-1070,0.02342302784143145
-1060,0.022325287813713516
-1050,0.018661580471204905
-1040,0.01805782345596004
-1030,0.020198416510010017
-1020,0.021982244055051663
-1010,0.02073356477352251
-1000,0.020623790770750716
-990,0.01975932049892284
-980,0.017906884202148827
-970,0.016177943658493076
-960,0.013845246099592465
-950,0.011293000535148263
-940,0.010702965270249873
-930,0.008905415974861754
-920,0.006092457153834543
-910,0.004802612621265969
-900,0.0043909601108717425
-890,0.003636263841815662
-880,0.003279498332807333
-870,0.0032383330817679105
-860,0.003622542091469188
-850,0.003965585850131043
-840,0.003622542091469188
-830,0.003444159336965023
-820,0.0027169065686018907
-810,0.003156002579689065
-800,0.002991341575531375
-790,0.0021405930540499747
-780,0.0017014970429628004
-770,0.0013721750346474197
-760,0.0014956707877656875
-750,0.0016054447905374809
-740,0.0013858967849938938
-730,0.00111146177806441
-720,6.99809267670184E-4
-710,5.077047628195453E-4
-700,7.135310180166583E-4
-690,5.214265131660194E-4
-680,4.253742607407001E-4
-670,2.4699150623653555E-4
-660,2.0582625519711294E-4
-650,9.605225242531937E-5
-640,8.233050207884518E-5
-630,2.7443500692948393E-5
-620,6.860875173237098E-5
-610,1.3721750346474197E-5
-600,5.488700138589679E-5
-590,0.0
-580,1.2349575311826778E-4
-570,8.233050207884518E-5
-560,1.3721750346474197E-5
-550,1.3721750346474197E-5
-540,2.7443500692948393E-5
-530,1.3721750346474197E-5
-520,0.0
-510,1.3721750346474197E-5
-500,0.0
-490,0.0
-480,0.0
-470,0.0
-460,0.0
-450,0.0
-440,1.3721750346474197E-5
-430,0.0
-420,0.0
-410,0.0
-400,0.0
-390,0.0
-380,0.0
-370,0.0
-360,0.0
-350,0.0
-340,0.0
-330,1.3721750346474197E-5
